expression,expected_result,wrapper,pair_id,family,source,target,expected_strategy
(a*x + b*x - ((a+b)*x)) + (1/(1 + 1/(1+u)) - (1+u)/(2+u)),0,combined_additive_zero,collect_symbolic_nested_fraction_depth4_combined_zero,collect,a*x + b*x,(a+b)*x,collapse exact zero additive subexpressions
((x*y + x*z + w) + m) - ((x*(y + z) + w) + m),0,additive_passthrough_zero,collect_common_symbolic_coefficients,collect,x*y + x*z + w,x*(y + z) + w,collect
k*(x*y + x*z + w) - k*(x*(y + z) + w),0,scaled_difference_zero,collect_common_symbolic_coefficients,collect,x*y + x*z + w,x*(y + z) + w,collect
((x*y + x*z + w)/q) - ((x*(y + z) + w)/q),0,common_denominator_zero,collect_common_symbolic_coefficients,collect,x*y + x*z + w,x*(y + z) + w,collect
((x*y + x*z + w) + 1)/((x*(y + z) + w) + 1),1,shifted_quotient_one,collect_common_symbolic_coefficients,collect,x*y + x*z + w,x*(y + z) + w,collect
((a*x^2 + b*x + c*x^2 + d*x + e*x^2 + f) + m) - (((a + c + e)*x^2 + (b + d)*x + f) + m),0,additive_passthrough_zero,collect_multiple_power_groups,collect,a*x^2 + b*x + c*x^2 + d*x + e*x^2 + f,(a + c + e)*x^2 + (b + d)*x + f,collect
k*(a*x^2 + b*x + c*x^2 + d*x + e*x^2 + f) - k*((a + c + e)*x^2 + (b + d)*x + f),0,scaled_difference_zero,collect_multiple_power_groups,collect,a*x^2 + b*x + c*x^2 + d*x + e*x^2 + f,(a + c + e)*x^2 + (b + d)*x + f,collect
((a*x^2 + b*x + c*x^2 + d*x + e*x^2 + f)/q) - (((a + c + e)*x^2 + (b + d)*x + f)/q),0,common_denominator_zero,collect_multiple_power_groups,collect,a*x^2 + b*x + c*x^2 + d*x + e*x^2 + f,(a + c + e)*x^2 + (b + d)*x + f,collect
((a*x^2 + b*x + c*x^2 + d*x + e*x^2 + f) + 1)/(((a + c + e)*x^2 + (b + d)*x + f) + 1),1,shifted_quotient_one,collect_multiple_power_groups,collect,a*x^2 + b*x + c*x^2 + d*x + e*x^2 + f,(a + c + e)*x^2 + (b + d)*x + f,collect
((a*x^2 + b*x + c) + m) - ((x*(a*x + b + c/x)) + m),0,additive_passthrough_zero,factor_out_with_division_quadratic,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),factor out with division
k*(a*x^2 + b*x + c) - k*(x*(a*x + b + c/x)),0,scaled_difference_zero,factor_out_with_division_quadratic,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),factor out with division
((a*x^2 + b*x + c)/q) - ((x*(a*x + b + c/x))/q),0,common_denominator_zero,factor_out_with_division_quadratic,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),factor out with division
((a*x^2 + b*x + c) + 1)/((x*(a*x + b + c/x)) + 1),1,shifted_quotient_one,factor_out_with_division_quadratic,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),factor out with division
1/((a*x^2 + b*x + c)+d) - 1/((x*(a*x + b + c/x))+d),0,reciprocal_shifted_difference_zero,factor_out_with_division_quadratic,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),reciprocal shifted difference
1/(((a*x^2 + b*x + c)+r/s)+d) - 1/(((x*(a*x + b + c/x))+r/s)+d),0,reciprocal_shifted_difference_zero,factor_out_with_division_quadratic_noise_fraction,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),reciprocal shifted difference noise budget
a*x^2 + b*x + c - x*(a*x + b + c/x),0,combined_additive_zero,factor_out_with_division_quadratic_zero,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),factor out with division
(a*x^2 + b*x + c - x*(a*x + b + c/x)) + (((u+v)*(u-v)) - (u^2-v^2)),0,combined_additive_zero,conditional_factor_factor_combined_zero,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),collapse exact zero additive subexpressions
(a*x^2 + b*x + c - x*(a*x + b + c/x)) + (1/(1 + 1/(1 + 1/(1+u))) - (2+u)/(3+2*u)),0,combined_additive_zero,conditional_factor_nested_fraction_depth4_combined_zero,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),collapse exact zero additive subexpressions
(((a*x^2 + b*x + c)^2) + m) - (((x*(a*x + b + c/x))^2) + m),0,squared_passthrough_zero,factor_out_with_division_quadratic_squared,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),factor out with division
((((a*x^2 + b*x + c)^2) + m)^2) - ((((x*(a*x + b + c/x))^2) + m)^2),0,squared_passthrough_zero,factor_out_with_division_quadratic_double_squared,conditional_factor,a*x^2 + b*x + c,x*(a*x + b + c/x),factor out with division
((a*x^4 + b*x^3 + c*x^2 + d) + m) - ((x^2*(a*x^2 + b*x + c + d/x^2)) + m),0,additive_passthrough_zero,factor_out_square_with_division_quartic,conditional_factor,a*x^4 + b*x^3 + c*x^2 + d,x^2*(a*x^2 + b*x + c + d/x^2),factor out with division
k*(a*x^4 + b*x^3 + c*x^2 + d) - k*(x^2*(a*x^2 + b*x + c + d/x^2)),0,scaled_difference_zero,factor_out_square_with_division_quartic,conditional_factor,a*x^4 + b*x^3 + c*x^2 + d,x^2*(a*x^2 + b*x + c + d/x^2),factor out with division
((a*x^4 + b*x^3 + c*x^2 + d)/q) - ((x^2*(a*x^2 + b*x + c + d/x^2))/q),0,common_denominator_zero,factor_out_square_with_division_quartic,conditional_factor,a*x^4 + b*x^3 + c*x^2 + d,x^2*(a*x^2 + b*x + c + d/x^2),factor out with division
((a*x^4 + b*x^3 + c*x^2 + d) + 1)/((x^2*(a*x^2 + b*x + c + d/x^2)) + 1),1,shifted_quotient_one,factor_out_square_with_division_quartic,conditional_factor,a*x^4 + b*x^3 + c*x^2 + d,x^2*(a*x^2 + b*x + c + d/x^2),factor out with division
((a*x^7 + b*x^5 + c*x^3 + d) + m) - ((x^3*(a*x^4 + b*x^2 + c + d/x^3)) + m),0,additive_passthrough_zero,factor_out_cube_with_division_septic,conditional_factor,a*x^7 + b*x^5 + c*x^3 + d,x^3*(a*x^4 + b*x^2 + c + d/x^3),factor out with division
k*(a*x^7 + b*x^5 + c*x^3 + d) - k*(x^3*(a*x^4 + b*x^2 + c + d/x^3)),0,scaled_difference_zero,factor_out_cube_with_division_septic,conditional_factor,a*x^7 + b*x^5 + c*x^3 + d,x^3*(a*x^4 + b*x^2 + c + d/x^3),factor out with division
((a*x^7 + b*x^5 + c*x^3 + d)/q) - ((x^3*(a*x^4 + b*x^2 + c + d/x^3))/q),0,common_denominator_zero,factor_out_cube_with_division_septic,conditional_factor,a*x^7 + b*x^5 + c*x^3 + d,x^3*(a*x^4 + b*x^2 + c + d/x^3),factor out with division
((a*x^7 + b*x^5 + c*x^3 + d) + 1)/((x^3*(a*x^4 + b*x^2 + c + d/x^3)) + 1),1,shifted_quotient_one,factor_out_cube_with_division_septic,conditional_factor,a*x^7 + b*x^5 + c*x^3 + d,x^3*(a*x^4 + b*x^2 + c + d/x^3),factor out with division
((a^2 - b^2) + m) - (((a - b)*(a + b)) + m),0,additive_passthrough_zero,factor_difference_squares,factor,a^2 - b^2,(a - b)*(a + b),factor
k*(a^2 - b^2) - k*((a - b)*(a + b)),0,scaled_difference_zero,factor_difference_squares,factor,a^2 - b^2,(a - b)*(a + b),factor
((a^2 - b^2)/q) - (((a - b)*(a + b))/q),0,common_denominator_zero,factor_difference_squares,factor,a^2 - b^2,(a - b)*(a + b),factor
((a^2 - b^2) + 1)/(((a - b)*(a + b)) + 1),1,shifted_quotient_one,factor_difference_squares,factor,a^2 - b^2,(a - b)*(a + b),factor
1/((a^2 - b^2)+c) - 1/(((a - b)*(a + b))+c),0,reciprocal_shifted_difference_zero,factor_difference_squares,factor,a^2 - b^2,(a - b)*(a + b),reciprocal shifted difference
1/(((a^2 - b^2)+r/s)+c) - 1/((((a - b)*(a + b))+r/s)+c),0,reciprocal_shifted_difference_zero,factor_difference_squares_noise_fraction,factor,a^2 - b^2,(a - b)*(a + b),reciprocal shifted difference noise budget
((a^2 + 2*a*b + b^2) + m) - (((a + b)^2) + m),0,additive_passthrough_zero,factor_perfect_square_trinomial_symbolic,factor,a^2 + 2*a*b + b^2,(a + b)^2,factor
k*(a^2 + 2*a*b + b^2) - k*((a + b)^2),0,scaled_difference_zero,factor_perfect_square_trinomial_symbolic,factor,a^2 + 2*a*b + b^2,(a + b)^2,factor
((a^2 + 2*a*b + b^2)/q) - (((a + b)^2)/q),0,common_denominator_zero,factor_perfect_square_trinomial_symbolic,factor,a^2 + 2*a*b + b^2,(a + b)^2,factor
((a^2 + 2*a*b + b^2) + 1)/(((a + b)^2) + 1),1,shifted_quotient_one,factor_perfect_square_trinomial_symbolic,factor,a^2 + 2*a*b + b^2,(a + b)^2,factor
((x^4 + 4*y^4) + m) - (((x^2 - 2*x*y + 2*y^2)*(x^2 + 2*x*y + 2*y^2)) + m),0,additive_passthrough_zero,factor_sophie_germain,factor,x^4 + 4*y^4,(x^2 - 2*x*y + 2*y^2)*(x^2 + 2*x*y + 2*y^2),factor
k*(x^4 + 4*y^4) - k*((x^2 - 2*x*y + 2*y^2)*(x^2 + 2*x*y + 2*y^2)),0,scaled_difference_zero,factor_sophie_germain,factor,x^4 + 4*y^4,(x^2 - 2*x*y + 2*y^2)*(x^2 + 2*x*y + 2*y^2),factor
((x^4 + 4*y^4)/q) - (((x^2 - 2*x*y + 2*y^2)*(x^2 + 2*x*y + 2*y^2))/q),0,common_denominator_zero,factor_sophie_germain,factor,x^4 + 4*y^4,(x^2 - 2*x*y + 2*y^2)*(x^2 + 2*x*y + 2*y^2),factor
((x^4 + 4*y^4) + 1)/(((x^2 - 2*x*y + 2*y^2)*(x^2 + 2*x*y + 2*y^2)) + 1),1,shifted_quotient_one,factor_sophie_germain,factor,x^4 + 4*y^4,(x^2 - 2*x*y + 2*y^2)*(x^2 + 2*x*y + 2*y^2),factor
((a^3*(b-c) + b^3*(c-a) + c^3*(a-b)) + m) - (((a-b)*(a-c)*(b-c)*(a+b+c)) + m),0,additive_passthrough_zero,factor_alternating_cubic_vandermonde,factor,a^3*(b-c) + b^3*(c-a) + c^3*(a-b),(a-b)*(a-c)*(b-c)*(a+b+c),factor
k*(a^3*(b-c) + b^3*(c-a) + c^3*(a-b)) - k*((a-b)*(a-c)*(b-c)*(a+b+c)),0,scaled_difference_zero,factor_alternating_cubic_vandermonde,factor,a^3*(b-c) + b^3*(c-a) + c^3*(a-b),(a-b)*(a-c)*(b-c)*(a+b+c),factor
((a^3*(b-c) + b^3*(c-a) + c^3*(a-b))/q) - (((a-b)*(a-c)*(b-c)*(a+b+c))/q),0,common_denominator_zero,factor_alternating_cubic_vandermonde,factor,a^3*(b-c) + b^3*(c-a) + c^3*(a-b),(a-b)*(a-c)*(b-c)*(a+b+c),factor
((a^3*(b-c) + b^3*(c-a) + c^3*(a-b)) + 1)/(((a-b)*(a-c)*(b-c)*(a+b+c)) + 1),1,shifted_quotient_one,factor_alternating_cubic_vandermonde,factor,a^3*(b-c) + b^3*(c-a) + c^3*(a-b),(a-b)*(a-c)*(b-c)*(a+b+c),factor
((a^3-b^3) + m) - (((a-b)*(a^2+a*b+b^2)) + m),0,additive_passthrough_zero,factor_difference_cubes,factor,a^3-b^3,(a-b)*(a^2+a*b+b^2),factor
k*(a^3-b^3) - k*((a-b)*(a^2+a*b+b^2)),0,scaled_difference_zero,factor_difference_cubes,factor,a^3-b^3,(a-b)*(a^2+a*b+b^2),factor
((a^3-b^3)/q) - (((a-b)*(a^2+a*b+b^2))/q),0,common_denominator_zero,factor_difference_cubes,factor,a^3-b^3,(a-b)*(a^2+a*b+b^2),factor
((a^3-b^3) + 1)/(((a-b)*(a^2+a*b+b^2)) + 1),1,shifted_quotient_one,factor_difference_cubes,factor,a^3-b^3,(a-b)*(a^2+a*b+b^2),factor
((a^3+b^3) + m) - (((a+b)*(a^2-a*b+b^2)) + m),0,additive_passthrough_zero,factor_sum_cubes,factor,a^3+b^3,(a+b)*(a^2-a*b+b^2),factor
k*(a^3+b^3) - k*((a+b)*(a^2-a*b+b^2)),0,scaled_difference_zero,factor_sum_cubes,factor,a^3+b^3,(a+b)*(a^2-a*b+b^2),factor
((a^3+b^3)/q) - (((a+b)*(a^2-a*b+b^2))/q),0,common_denominator_zero,factor_sum_cubes,factor,a^3+b^3,(a+b)*(a^2-a*b+b^2),factor
((a^3+b^3) + 1)/(((a+b)*(a^2-a*b+b^2)) + 1),1,shifted_quotient_one,factor_sum_cubes,factor,a^3+b^3,(a+b)*(a^2-a*b+b^2),factor
((x^6-a^6) + m) - (((x^2-a^2)*(x^4+a^2*x^2+a^4)) + m),0,additive_passthrough_zero,factor_symbolic_sixth_power_difference,factor,x^6-a^6,(x^2-a^2)*(x^4+a^2*x^2+a^4),factor
k*(x^6-a^6) - k*((x^2-a^2)*(x^4+a^2*x^2+a^4)),0,scaled_difference_zero,factor_symbolic_sixth_power_difference,factor,x^6-a^6,(x^2-a^2)*(x^4+a^2*x^2+a^4),factor
((x^6-a^6)/q) - (((x^2-a^2)*(x^4+a^2*x^2+a^4))/q),0,common_denominator_zero,factor_symbolic_sixth_power_difference,factor,x^6-a^6,(x^2-a^2)*(x^4+a^2*x^2+a^4),factor
((x^6-a^6) + 1)/(((x^2-a^2)*(x^4+a^2*x^2+a^4)) + 1),1,shifted_quotient_one,factor_symbolic_sixth_power_difference,factor,x^6-a^6,(x^2-a^2)*(x^4+a^2*x^2+a^4),factor
((x^6+a^6) + m) - (((x^2+a^2)*(x^4-a^2*x^2+a^4)) + m),0,additive_passthrough_zero,factor_symbolic_sixth_power_sum,factor,x^6+a^6,(x^2+a^2)*(x^4-a^2*x^2+a^4),factor
k*(x^6+a^6) - k*((x^2+a^2)*(x^4-a^2*x^2+a^4)),0,scaled_difference_zero,factor_symbolic_sixth_power_sum,factor,x^6+a^6,(x^2+a^2)*(x^4-a^2*x^2+a^4),factor
((x^6+a^6)/q) - (((x^2+a^2)*(x^4-a^2*x^2+a^4))/q),0,common_denominator_zero,factor_symbolic_sixth_power_sum,factor,x^6+a^6,(x^2+a^2)*(x^4-a^2*x^2+a^4),factor
((x^6+a^6) + 1)/(((x^2+a^2)*(x^4-a^2*x^2+a^4)) + 1),1,shifted_quotient_one,factor_symbolic_sixth_power_sum,factor,x^6+a^6,(x^2+a^2)*(x^4-a^2*x^2+a^4),factor
((sin(x)^2 + cos(x)^2) + m) - ((1) + m),0,additive_passthrough_zero,pythagorean_identity,simplify,sin(x)^2 + cos(x)^2,1,rewrite trigs
k*(sin(x)^2 + cos(x)^2) - k*(1),0,scaled_difference_zero,pythagorean_identity,simplify,sin(x)^2 + cos(x)^2,1,rewrite trigs
((sin(x)^2 + cos(x)^2)/q) - ((1)/q),0,common_denominator_zero,pythagorean_identity,simplify,sin(x)^2 + cos(x)^2,1,rewrite trigs
((sin(x)^2 + cos(x)^2) + 1)/((1) + 1),1,shifted_quotient_one,pythagorean_identity,simplify,sin(x)^2 + cos(x)^2,1,rewrite trigs
((1 - sin(x)^2) + m) - ((cos(x)^2) + m),0,additive_passthrough_zero,pythagorean_factor_form_to_cos_sq,simplify,1 - sin(x)^2,cos(x)^2,rewrite trigs
k*(1 - sin(x)^2) - k*(cos(x)^2),0,scaled_difference_zero,pythagorean_factor_form_to_cos_sq,simplify,1 - sin(x)^2,cos(x)^2,rewrite trigs
((1 - sin(x)^2)/q) - ((cos(x)^2)/q),0,common_denominator_zero,pythagorean_factor_form_to_cos_sq,simplify,1 - sin(x)^2,cos(x)^2,rewrite trigs
((1 - sin(x)^2) + 1)/((cos(x)^2) + 1),1,shifted_quotient_one,pythagorean_factor_form_to_cos_sq,simplify,1 - sin(x)^2,cos(x)^2,rewrite trigs
((sin(x)^2) + m) - ((1-cos(x)^2) + m),0,additive_passthrough_zero,pythagorean_factor_form_from_sin_sq,simplify,sin(x)^2,1-cos(x)^2,rewrite trigs
k*(sin(x)^2) - k*(1-cos(x)^2),0,scaled_difference_zero,pythagorean_factor_form_from_sin_sq,simplify,sin(x)^2,1-cos(x)^2,rewrite trigs
((sin(x)^2)/q) - ((1-cos(x)^2)/q),0,common_denominator_zero,pythagorean_factor_form_from_sin_sq,simplify,sin(x)^2,1-cos(x)^2,rewrite trigs
((sin(x)^2) + 1)/((1-cos(x)^2) + 1),1,shifted_quotient_one,pythagorean_factor_form_from_sin_sq,simplify,sin(x)^2,1-cos(x)^2,rewrite trigs
((cosh(x)^2 - sinh(x)^2) + m) - ((1) + m),0,additive_passthrough_zero,hyperbolic_pythagorean_identity,simplify,cosh(x)^2 - sinh(x)^2,1,rewrite hyperbolics
k*(cosh(x)^2 - sinh(x)^2) - k*(1),0,scaled_difference_zero,hyperbolic_pythagorean_identity,simplify,cosh(x)^2 - sinh(x)^2,1,rewrite hyperbolics
((cosh(x)^2 - sinh(x)^2)/q) - ((1)/q),0,common_denominator_zero,hyperbolic_pythagorean_identity,simplify,cosh(x)^2 - sinh(x)^2,1,rewrite hyperbolics
((cosh(x)^2 - sinh(x)^2) + 1)/((1) + 1),1,shifted_quotient_one,hyperbolic_pythagorean_identity,simplify,cosh(x)^2 - sinh(x)^2,1,rewrite hyperbolics
((cosh(x)^2-sinh(x)^2+a) + m) - ((1+a) + m),0,additive_passthrough_zero,hyperbolic_pythagorean_identity_with_passthrough,simplify,cosh(x)^2-sinh(x)^2+a,1+a,rewrite hyperbolics
k*(cosh(x)^2-sinh(x)^2+a) - k*(1+a),0,scaled_difference_zero,hyperbolic_pythagorean_identity_with_passthrough,simplify,cosh(x)^2-sinh(x)^2+a,1+a,rewrite hyperbolics
((cosh(x)^2-sinh(x)^2+a)/q) - ((1+a)/q),0,common_denominator_zero,hyperbolic_pythagorean_identity_with_passthrough,simplify,cosh(x)^2-sinh(x)^2+a,1+a,rewrite hyperbolics
((cosh(x)^2-sinh(x)^2+a) + 1)/((1+a) + 1),1,shifted_quotient_one,hyperbolic_pythagorean_identity_with_passthrough,simplify,cosh(x)^2-sinh(x)^2+a,1+a,rewrite hyperbolics
((cosh(x)^2 - 1) + m) - ((sinh(x)^2) + m),0,additive_passthrough_zero,hyperbolic_pythagorean_shifted_forward,simplify,cosh(x)^2 - 1,sinh(x)^2,rewrite hyperbolics
k*(cosh(x)^2 - 1) - k*(sinh(x)^2),0,scaled_difference_zero,hyperbolic_pythagorean_shifted_forward,simplify,cosh(x)^2 - 1,sinh(x)^2,rewrite hyperbolics
((cosh(x)^2 - 1)/q) - ((sinh(x)^2)/q),0,common_denominator_zero,hyperbolic_pythagorean_shifted_forward,simplify,cosh(x)^2 - 1,sinh(x)^2,rewrite hyperbolics
((cosh(x)^2 - 1) + 1)/((sinh(x)^2) + 1),1,shifted_quotient_one,hyperbolic_pythagorean_shifted_forward,simplify,cosh(x)^2 - 1,sinh(x)^2,rewrite hyperbolics
((1 - tanh(x)^2) + m) - ((1/cosh(x)^2) + m),0,additive_passthrough_zero,hyperbolic_tanh_pythagorean_forward,simplify,1 - tanh(x)^2,1/cosh(x)^2,rewrite hyperbolics
k*(1 - tanh(x)^2) - k*(1/cosh(x)^2),0,scaled_difference_zero,hyperbolic_tanh_pythagorean_forward,simplify,1 - tanh(x)^2,1/cosh(x)^2,rewrite hyperbolics
((1 - tanh(x)^2)/q) - ((1/cosh(x)^2)/q),0,common_denominator_zero,hyperbolic_tanh_pythagorean_forward,simplify,1 - tanh(x)^2,1/cosh(x)^2,rewrite hyperbolics
((1 - tanh(x)^2) + 1)/((1/cosh(x)^2) + 1),1,shifted_quotient_one,hyperbolic_tanh_pythagorean_forward,simplify,1 - tanh(x)^2,1/cosh(x)^2,rewrite hyperbolics
((cosh(x/2)^2) + m) - (((cosh(x)+1)/2) + m),0,additive_passthrough_zero,hyperbolic_half_angle_cosh_forward,simplify,cosh(x/2)^2,(cosh(x)+1)/2,rewrite hyperbolics
k*(cosh(x/2)^2) - k*((cosh(x)+1)/2),0,scaled_difference_zero,hyperbolic_half_angle_cosh_forward,simplify,cosh(x/2)^2,(cosh(x)+1)/2,rewrite hyperbolics
((cosh(x/2)^2)/q) - (((cosh(x)+1)/2)/q),0,common_denominator_zero,hyperbolic_half_angle_cosh_forward,simplify,cosh(x/2)^2,(cosh(x)+1)/2,rewrite hyperbolics
((cosh(x/2)^2) + 1)/(((cosh(x)+1)/2) + 1),1,shifted_quotient_one,hyperbolic_half_angle_cosh_forward,simplify,cosh(x/2)^2,(cosh(x)+1)/2,rewrite hyperbolics
((2*sinh(x)*cosh(x)) + m) - ((sinh(2*x)) + m),0,additive_passthrough_zero,hyperbolic_contract_sinh_double_angle,simplify,2*sinh(x)*cosh(x),sinh(2*x),rewrite hyperbolics
k*(2*sinh(x)*cosh(x)) - k*(sinh(2*x)),0,scaled_difference_zero,hyperbolic_contract_sinh_double_angle,simplify,2*sinh(x)*cosh(x),sinh(2*x),rewrite hyperbolics
((2*sinh(x)*cosh(x))/q) - ((sinh(2*x))/q),0,common_denominator_zero,hyperbolic_contract_sinh_double_angle,simplify,2*sinh(x)*cosh(x),sinh(2*x),rewrite hyperbolics
((2*sinh(x)*cosh(x)) + 1)/((sinh(2*x)) + 1),1,shifted_quotient_one,hyperbolic_contract_sinh_double_angle,simplify,2*sinh(x)*cosh(x),sinh(2*x),rewrite hyperbolics
((2*sinh(x)*cosh(x)+a) + m) - ((sinh(2*x)+a) + m),0,additive_passthrough_zero,hyperbolic_contract_sinh_double_angle_with_passthrough,simplify,2*sinh(x)*cosh(x)+a,sinh(2*x)+a,rewrite hyperbolics
k*(2*sinh(x)*cosh(x)+a) - k*(sinh(2*x)+a),0,scaled_difference_zero,hyperbolic_contract_sinh_double_angle_with_passthrough,simplify,2*sinh(x)*cosh(x)+a,sinh(2*x)+a,rewrite hyperbolics
((2*sinh(x)*cosh(x)+a)/q) - ((sinh(2*x)+a)/q),0,common_denominator_zero,hyperbolic_contract_sinh_double_angle_with_passthrough,simplify,2*sinh(x)*cosh(x)+a,sinh(2*x)+a,rewrite hyperbolics
((2*sinh(x)*cosh(x)+a) + 1)/((sinh(2*x)+a) + 1),1,shifted_quotient_one,hyperbolic_contract_sinh_double_angle_with_passthrough,simplify,2*sinh(x)*cosh(x)+a,sinh(2*x)+a,rewrite hyperbolics
((2*tanh(x)/(1+tanh(x)^2)) + m) - ((tanh(2*x)) + m),0,additive_passthrough_zero,hyperbolic_contract_tanh_double_angle,simplify,2*tanh(x)/(1+tanh(x)^2),tanh(2*x),rewrite hyperbolics
k*(2*tanh(x)/(1+tanh(x)^2)) - k*(tanh(2*x)),0,scaled_difference_zero,hyperbolic_contract_tanh_double_angle,simplify,2*tanh(x)/(1+tanh(x)^2),tanh(2*x),rewrite hyperbolics
((2*tanh(x)/(1+tanh(x)^2))/q) - ((tanh(2*x))/q),0,common_denominator_zero,hyperbolic_contract_tanh_double_angle,simplify,2*tanh(x)/(1+tanh(x)^2),tanh(2*x),rewrite hyperbolics
((2*tanh(x)/(1+tanh(x)^2)) + 1)/((tanh(2*x)) + 1),1,shifted_quotient_one,hyperbolic_contract_tanh_double_angle,simplify,2*tanh(x)/(1+tanh(x)^2),tanh(2*x),rewrite hyperbolics
((cosh(2*x)) + m) - ((cosh(x)^2 + sinh(x)^2) + m),0,additive_passthrough_zero,hyperbolic_expand_cosh_double_angle_sum,simplify,cosh(2*x),cosh(x)^2 + sinh(x)^2,rewrite hyperbolics
k*(cosh(2*x)) - k*(cosh(x)^2 + sinh(x)^2),0,scaled_difference_zero,hyperbolic_expand_cosh_double_angle_sum,simplify,cosh(2*x),cosh(x)^2 + sinh(x)^2,rewrite hyperbolics
((cosh(2*x))/q) - ((cosh(x)^2 + sinh(x)^2)/q),0,common_denominator_zero,hyperbolic_expand_cosh_double_angle_sum,simplify,cosh(2*x),cosh(x)^2 + sinh(x)^2,rewrite hyperbolics
((cosh(2*x)) + 1)/((cosh(x)^2 + sinh(x)^2) + 1),1,shifted_quotient_one,hyperbolic_expand_cosh_double_angle_sum,simplify,cosh(2*x),cosh(x)^2 + sinh(x)^2,rewrite hyperbolics
((cosh(2*x)) + m) - ((2*cosh(x)^2 - 1) + m),0,additive_passthrough_zero,hyperbolic_expand_cosh_double_angle_cosh_sq,simplify,cosh(2*x),2*cosh(x)^2 - 1,rewrite hyperbolics
k*(cosh(2*x)) - k*(2*cosh(x)^2 - 1),0,scaled_difference_zero,hyperbolic_expand_cosh_double_angle_cosh_sq,simplify,cosh(2*x),2*cosh(x)^2 - 1,rewrite hyperbolics
((cosh(2*x))/q) - ((2*cosh(x)^2 - 1)/q),0,common_denominator_zero,hyperbolic_expand_cosh_double_angle_cosh_sq,simplify,cosh(2*x),2*cosh(x)^2 - 1,rewrite hyperbolics
((cosh(2*x)) + 1)/((2*cosh(x)^2 - 1) + 1),1,shifted_quotient_one,hyperbolic_expand_cosh_double_angle_cosh_sq,simplify,cosh(2*x),2*cosh(x)^2 - 1,rewrite hyperbolics
((3*sinh(x)+4*sinh(x)^3) + m) - ((sinh(3*x)) + m),0,additive_passthrough_zero,hyperbolic_contract_sinh_triple_angle,simplify,3*sinh(x)+4*sinh(x)^3,sinh(3*x),rewrite hyperbolics
k*(3*sinh(x)+4*sinh(x)^3) - k*(sinh(3*x)),0,scaled_difference_zero,hyperbolic_contract_sinh_triple_angle,simplify,3*sinh(x)+4*sinh(x)^3,sinh(3*x),rewrite hyperbolics
((3*sinh(x)+4*sinh(x)^3)/q) - ((sinh(3*x))/q),0,common_denominator_zero,hyperbolic_contract_sinh_triple_angle,simplify,3*sinh(x)+4*sinh(x)^3,sinh(3*x),rewrite hyperbolics
