expression,expected_result,composition,source_expr_1,source_expr_2
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (ln(x^2 - y^2) - ln(x - y) - ln(x + y)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),ln(x^2 - y^2) - ln(x - y) - ln(x + y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (ln(x^2 - y^2) - ln(x - y) - ln(x + y)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),ln(x^2 - y^2) - ln(x - y) - ln(x + y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (ln(x^2 - y^2) - ln(x - y) - ln(x + y)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),ln(x^2 - y^2) - ln(x - y) - ln(x + y)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((ln(x^2 - y^2) - ln(x - y) - ln(x + y)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),ln(x^2 - y^2) - ln(x - y) - ln(x + y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (sin(x)^2 - (1 - cos(2*x))/2),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sin(x)^2 - (1 - cos(2*x))/2
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (sin(x)^2 - (1 - cos(2*x))/2),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sin(x)^2 - (1 - cos(2*x))/2
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (sin(x)^2 - (1 - cos(2*x))/2),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sin(x)^2 - (1 - cos(2*x))/2
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((sin(x)^2 - (1 - cos(2*x))/2) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sin(x)^2 - (1 - cos(2*x))/2
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (cosh(x) + sinh(x) - e^x),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cosh(x) + sinh(x) - e^x
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (cosh(x) + sinh(x) - e^x),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cosh(x) + sinh(x) - e^x
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (cosh(x) + sinh(x) - e^x),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cosh(x) + sinh(x) - e^x
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((cosh(x) + sinh(x) - e^x) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cosh(x) + sinh(x) - e^x
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + ((sin(x) + cos(x))^2 - (1 + sin(2*x))),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),(sin(x) + cos(x))^2 - (1 + sin(2*x))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - ((sin(x) + cos(x))^2 - (1 + sin(2*x))),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),(sin(x) + cos(x))^2 - (1 + sin(2*x))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * ((sin(x) + cos(x))^2 - (1 + sin(2*x))),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),(sin(x) + cos(x))^2 - (1 + sin(2*x))
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/(((sin(x) + cos(x))^2 - (1 + sin(2*x))) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),(sin(x) + cos(x))^2 - (1 + sin(2*x))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + ((a^3-b^3)/(a-b) - (a^2 + a*b + b^2)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),(a^3-b^3)/(a-b) - (a^2 + a*b + b^2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - ((a^3-b^3)/(a-b) - (a^2 + a*b + b^2)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),(a^3-b^3)/(a-b) - (a^2 + a*b + b^2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * ((a^3-b^3)/(a-b) - (a^2 + a*b + b^2)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),(a^3-b^3)/(a-b) - (a^2 + a*b + b^2)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/(((a^3-b^3)/(a-b) - (a^2 + a*b + b^2)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),(a^3-b^3)/(a-b) - (a^2 + a*b + b^2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (sqrt(a^2 + 2*a*b + b^2) - abs(a+b)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sqrt(a^2 + 2*a*b + b^2) - abs(a+b)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (sqrt(a^2 + 2*a*b + b^2) - abs(a+b)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sqrt(a^2 + 2*a*b + b^2) - abs(a+b)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (sqrt(a^2 + 2*a*b + b^2) - abs(a+b)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sqrt(a^2 + 2*a*b + b^2) - abs(a+b)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((sqrt(a^2 + 2*a*b + b^2) - abs(a+b)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sqrt(a^2 + 2*a*b + b^2) - abs(a+b)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (ln((x*y)^2) - ln(x^2) - ln(y^2)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),ln((x*y)^2) - ln(x^2) - ln(y^2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (ln((x*y)^2) - ln(x^2) - ln(y^2)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),ln((x*y)^2) - ln(x^2) - ln(y^2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (ln((x*y)^2) - ln(x^2) - ln(y^2)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),ln((x*y)^2) - ln(x^2) - ln(y^2)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((ln((x*y)^2) - ln(x^2) - ln(y^2)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),ln((x*y)^2) - ln(x^2) - ln(y^2)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (2*ln(abs(x*y)) - 2*ln(abs(x)) - 2*ln(abs(y))),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*ln(abs(x*y)) - 2*ln(abs(x)) - 2*ln(abs(y))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (2*ln(abs(x*y)) - 2*ln(abs(x)) - 2*ln(abs(y))),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*ln(abs(x*y)) - 2*ln(abs(x)) - 2*ln(abs(y))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (2*ln(abs(x*y)) - 2*ln(abs(x)) - 2*ln(abs(y))),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*ln(abs(x*y)) - 2*ln(abs(x)) - 2*ln(abs(y))
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((2*ln(abs(x*y)) - 2*ln(abs(x)) - 2*ln(abs(y))) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*ln(abs(x*y)) - 2*ln(abs(x)) - 2*ln(abs(y))
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (tan(x)*cot(x) - 1),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),tan(x)*cot(x) - 1
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (tan(x)*cot(x) - 1),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),tan(x)*cot(x) - 1
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (tan(x)*cot(x) - 1),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),tan(x)*cot(x) - 1
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((tan(x)*cot(x) - 1) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),tan(x)*cot(x) - 1
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (sec(x)^2 - tan(x)^2 - 1),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sec(x)^2 - tan(x)^2 - 1
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (sec(x)^2 - tan(x)^2 - 1),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sec(x)^2 - tan(x)^2 - 1
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (sec(x)^2 - tan(x)^2 - 1),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sec(x)^2 - tan(x)^2 - 1
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((sec(x)^2 - tan(x)^2 - 1) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),sec(x)^2 - tan(x)^2 - 1
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (cosh(x)^2 - sinh(x)^2 - 1),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cosh(x)^2 - sinh(x)^2 - 1
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (cosh(x)^2 - sinh(x)^2 - 1),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cosh(x)^2 - sinh(x)^2 - 1
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (cosh(x)^2 - sinh(x)^2 - 1),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cosh(x)^2 - sinh(x)^2 - 1
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((cosh(x)^2 - sinh(x)^2 - 1) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),cosh(x)^2 - sinh(x)^2 - 1
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (2*cos(x)*cos(y) - cos(x+y) - cos(x-y)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*cos(x)*cos(y) - cos(x+y) - cos(x-y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (2*cos(x)*cos(y) - cos(x+y) - cos(x-y)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*cos(x)*cos(y) - cos(x+y) - cos(x-y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (2*cos(x)*cos(y) - cos(x+y) - cos(x-y)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*cos(x)*cos(y) - cos(x+y) - cos(x-y)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((2*cos(x)*cos(y) - cos(x+y) - cos(x-y)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*cos(x)*cos(y) - cos(x+y) - cos(x-y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (2*sin(x)*cos(y) - sin(x+y) - sin(x-y)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(x)*cos(y) - sin(x+y) - sin(x-y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (2*sin(x)*cos(y) - sin(x+y) - sin(x-y)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(x)*cos(y) - sin(x+y) - sin(x-y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (2*sin(x)*cos(y) - sin(x+y) - sin(x-y)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(x)*cos(y) - sin(x+y) - sin(x-y)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((2*sin(x)*cos(y) - sin(x+y) - sin(x-y)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(x)*cos(y) - sin(x+y) - sin(x-y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (2*sin(x)*sin(y) - cos(x-y) + cos(x+y)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(x)*sin(y) - cos(x-y) + cos(x+y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (2*sin(x)*sin(y) - cos(x-y) + cos(x+y)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(x)*sin(y) - cos(x-y) + cos(x+y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (2*sin(x)*sin(y) - cos(x-y) + cos(x+y)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(x)*sin(y) - cos(x-y) + cos(x+y)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((2*sin(x)*sin(y) - cos(x-y) + cos(x+y)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),2*sin(x)*sin(y) - cos(x-y) + cos(x+y)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (exp(x) + exp(-x) - 2*cosh(x)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),exp(x) + exp(-x) - 2*cosh(x)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (exp(x) + exp(-x) - 2*cosh(x)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),exp(x) + exp(-x) - 2*cosh(x)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (exp(x) + exp(-x) - 2*cosh(x)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),exp(x) + exp(-x) - 2*cosh(x)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((exp(x) + exp(-x) - 2*cosh(x)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),exp(x) + exp(-x) - 2*cosh(x)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (exp(x) - exp(-x) - 2*sinh(x)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),exp(x) - exp(-x) - 2*sinh(x)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (exp(x) - exp(-x) - 2*sinh(x)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),exp(x) - exp(-x) - 2*sinh(x)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (exp(x) - exp(-x) - 2*sinh(x)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),exp(x) - exp(-x) - 2*sinh(x)
